label,metric,metric_label,iteration,mean,std
Sensitivity x SNR,train/sex_score_binary,Gender,3,0.5199999958276749,0.04999999701976776
Sensitivity x SNR,train/sex_score_binary,Gender,4,0.5699999928474426,0.009999990463256836
Sensitivity x SNR,train/sex_score_binary,Gender,5,0.5649999976158142,0.04500001668930054
Sensitivity x SNR,train/sex_score_binary,Gender,6,0.5849999785423279,0.05500000715255737
Sensitivity x SNR,train/sex_score_binary,Gender,7,0.6299999952316284,0.10000002384185791
Sensitivity x SNR,train/sex_score_binary,Gender,8,0.7249999940395355,0.07500001788139343
Sensitivity x SNR,train/sex_score_binary,Gender,9,0.7050000131130219,0.10499998927116394
Sensitivity x SNR,train/sex_score_binary,Gender,10,0.8199999928474426,0.06000000238418579
Sensitivity x SNR,train/sex_score_binary,Gender,11,0.8350000083446503,0.08500000834465027
Sensitivity x SNR,train/sex_score_binary,Gender,12,0.8149999976158142,0.04500001668930054
Sensitivity x SNR,train/sex_score_binary,Gender,13,0.7899999916553497,0.09000000357627869
Sensitivity x SNR,train/sex_score_binary,Gender,14,0.9000000059604645,0.010000020265579224
Sensitivity x SNR,train/sex_score_binary,Gender,15,0.8700000047683716,0.04000002145767212
Sensitivity x SNR,train/sex_score_binary,Gender,16,0.9050000011920929,0.07500001788139343
Sensitivity x SNR,train/sex_score_binary,Gender,17,0.8849999904632568,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,18,0.875,0.04500001668930054
Sensitivity x SNR,train/sex_score_binary,Gender,19,0.8499999940395355,0.02000001072883606
Sensitivity x SNR,train/sex_score_binary,Gender,20,0.8400000035762787,0.04999998211860657
Sensitivity x SNR,train/sex_score_binary,Gender,21,0.925000011920929,0.014999985694885254
Sensitivity x SNR,train/sex_score_binary,Gender,22,0.8950000107288361,0.04499998688697815
Sensitivity x SNR,train/sex_score_binary,Gender,23,0.9149999916553497,0.025000005960464478
Sensitivity x SNR,train/sex_score_binary,Gender,24,0.9699999988079071,0.010000020265579224
Sensitivity x SNR,train/sex_score_binary,Gender,25,0.9449999928474426,0.014999985694885254
Sensitivity x SNR,train/sex_score_binary,Gender,26,0.9749999940395355,0.015000015497207642
Sensitivity x SNR,train/sex_score_binary,Gender,27,0.9599999785423279,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,28,0.9749999940395355,0.015000015497207642
Sensitivity x SNR,train/sex_score_binary,Gender,29,0.9399999976158142,0.019999980926513672
Sensitivity x SNR,train/sex_score_binary,Gender,30,0.9750000238418579,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,31,0.9750000238418579,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,32,0.9799999892711639,0.02000001072883606
Sensitivity x SNR,train/sex_score_binary,Gender,33,0.9699999988079071,0.02000001072883606
Sensitivity x SNR,train/sex_score_binary,Gender,34,0.9600000083446503,0.02000001072883606
Sensitivity x SNR,train/sex_score_binary,Gender,35,0.9850000143051147,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,36,0.9850000143051147,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,37,0.9699999988079071,0.010000020265579224
Sensitivity x SNR,train/sex_score_binary,Gender,38,0.9950000047683716,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,39,0.9900000095367432,0.009999990463256836
Sensitivity x SNR,train/sex_score_binary,Gender,40,0.9749999940395355,0.015000015497207642
Sensitivity x SNR,train/sex_score_binary,Gender,41,0.9749999940395355,0.015000015497207642
Sensitivity x SNR,train/sex_score_binary,Gender,42,0.9900000095367432,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,43,0.9850000143051147,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,44,0.9950000047683716,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,45,0.9850000143051147,0.014999985694885254
Sensitivity x SNR,train/sex_score_binary,Gender,46,0.9850000143051147,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,47,0.9850000143051147,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,48,0.9950000047683716,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,49,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,50,0.9900000095367432,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,51,0.9750000238418579,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,52,0.9850000143051147,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,53,0.9699999988079071,0.02000001072883606
Sensitivity x SNR,train/sex_score_binary,Gender,54,0.9950000047683716,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,55,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,56,0.9900000095367432,0.009999990463256836
Sensitivity x SNR,train/sex_score_binary,Gender,57,0.9850000143051147,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,58,0.9749999940395355,0.015000015497207642
Sensitivity x SNR,train/sex_score_binary,Gender,59,0.9900000095367432,0.009999990463256836
Sensitivity x SNR,train/sex_score_binary,Gender,60,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,61,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,62,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,63,0.9950000047683716,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,64,0.9950000047683716,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,65,0.9950000047683716,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,66,0.9950000047683716,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,67,0.9950000047683716,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,68,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,69,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,70,0.9950000047683716,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,71,1.0,0.0
