timestep,metric,avg_deviation,variance,d_avg_deviation_diff,d_variance_diff,d_avg_deviation_grad,d_variance_grad
0,ir_person,0.03941333993221634,0.0008250538196619376,0.0013004195543035162,0.00013495842118360453,0.0013004195543035162,0.00013495842118360453
20,ir_person,0.06542173101828666,0.003524222243334028,0.0008100241093634386,0.00014152664323483538,0.0010552218318334774,0.00013824253220921995
40,ir_person,0.08162221320555543,0.0063547551080307355,0.00021278281713603132,6.533621498721782e-05,0.0005114034632497349,0.0001034314291110266
60,ir_person,0.08587786954827606,0.007661479407775092,0.0006563827388454235,0.00013204857400218664,0.00043458277799072743,9.869239449470223e-05
80,ir_person,0.09900552432518453,0.010302450887818825,0.00048151305667124624,3.514900878707119e-05,0.0005689478977583349,8.359879139462892e-05
100,ir_person,0.10863578545860945,0.011005431063560249,0.00024035843423917056,0.00017201469197446664,0.0003609357454552084,0.00010358185038076892
120,ir_person,0.11344295414339287,0.014445724903049581,0.0006913705070037384,0.0002493408879403961,0.00046586447062145454,0.00021067778995743138
140,ir_person,0.12727036428346764,0.019432542661857503,-8.748799334244995e-05,-6.31319816192145e-05,0.0003019412568306443,9.31044531605908e-05
160,ir_person,0.12552060441661864,0.018169903029473213,-8.277635943994693e-05,-9.019147647074816e-06,-8.513217639119844e-05,-3.6075564633144665e-05
180,ir_person,0.1238650772278197,0.017989520076531717,9.183328275685077e-05,-0.00014592203314127972,4.528461658451915e-06,-7.747059039417726e-05
200,ir_person,0.1257017428829567,0.015071079413706123,0.00020955145230982657,9.867691805008956e-05,0.00015069236753333868,-2.3622557545595076e-05
220,ir_person,0.12989277192915324,0.017044617774707914,0.0002301520882137989,0.00031559419129048306,0.00021985177026181274,0.00020713555467028632
240,ir_person,0.13449581369342922,0.023356501600517575,0.0005166404926894768,-4.026834405504217e-05,0.0003733962904516379,0.00013766292361772043
260,ir_person,0.14482862354721876,0.02255113471941673,-0.0003258832347346474,3.6229557964951276e-05,9.537862897741473e-05,-2.0193930450454477e-06
280,ir_person,0.1383109588525258,0.023275725878715757,0.0009282753494917418,0.00020775032741845341,0.00030119605737854717,0.00012198994269170234
300,ir_person,0.15687646584236065,0.027430732427084825,-0.00010767805055365842,-0.00013533072299651058,0.00041029864946904166,3.620980221097142e-05
320,ir_person,0.15472290483128748,0.024724117967154614,-0.0001950089548190606,9.2947641748721e-05,-0.00015134350268635952,-2.1191540623894787e-05
340,ir_person,0.15082272573490627,0.026583070802129034,0.0011868250150582765,0.0003533340456843651,0.000495908030119608,0.00022314084371654304
360,ir_person,0.1745592260360718,0.033649751715816335,-0.0008655663016252244,-0.00033612468036791005,0.00016062935671652608,8.604682658227506e-06
380,ir_person,0.1572479000035673,0.026927258108458134,0.0018112849676981569,0.0008612024796282747,0.00047285933303646625,0.00026253889963018235
400,ir_person,0.19347359935753045,0.04415130770102363,-0.0001794205860060155,-0.00041516720346347554,0.0008159321908460706,0.0002230176380823996
420,ir_person,0.18988518763741014,0.03584796363175412,0.0003794843220648561,8.938095250288492e-05,0.00010003186802942029,-0.00016289312548029532
440,ir_person,0.19747487407870726,0.037635582681811816,-8.40910289525723e-05,0.0002196377596775677,0.0001476966465561419,0.0001545093560902263
460,ir_person,0.1957930534996558,0.04202833787536317,0.000832225763690074,0.00023437975171664363,0.0003740673673687508,0.00022700875569710565
480,ir_person,0.2124375687734573,0.04671593290969604,0.0007889741462786315,0.00027613035422170663,0.0008105999549843527,0.00025525505296917513
500,ir_person,0.22821705169902992,0.052238539994130175,8.772404451156124e-05,0.0004083305672924253,0.0004383490953950964,0.00034223046075706597
520,ir_person,0.22997153258926115,0.06040515133997868,0.0002598888042411998,0.0002998664874793871,0.00017380642437638054,0.0003540985273859062
540,ir_person,0.23516930867408514,0.06640248108956642,0.0006796325973627976,-0.00017043555016766422,0.0004697607008019987,6.471546865586143e-05
560,ir_person,0.2487619606213411,0.06299377008621314,0.0008871261317108303,0.0007531895867917852,0.000783379364536814,0.0002913770183120605
580,ir_person,0.2665044832555577,0.07805756182204884,0.0014088778510049443,0.0006267561004655815,0.0011480019913578873,0.0006899728436286834
600,ir_person,0.2946820402756566,0.09059268383136047,0.0004056767699949004,-1.7112846751447115e-05,0.0009072773104999224,0.0003048216268570672
620,ir_person,0.3027955756755546,0.09025042689633153,0.00013987374389034523,0.00048773634605722704,0.00027277525694262283,0.00023531174965288996
640,ir_person,0.3055930505533615,0.10000515381747607,0.0020211674353740857,0.0009454229974423078,0.0010805205896322154,0.0007165796717497674
660,ir_person,0.3460163992608432,0.11891361376632223,0.000797634985348844,0.0013319480371605421,0.0014094012103614648,0.001138685517301425
680,ir_person,0.3619690989678201,0.14555257450953307,0.0016840162647786233,0.0007779947475541754,0.0012408256250637337,0.0010549713923573589
700,ir_person,0.39564942426339256,0.16111246946061658,0.0003865020462835711,0.0004901025923571709,0.0010352591555310973,0.0006340486699556731
720,ir_person,0.403379465189064,0.17091452130776,0.001312344828271303,0.0010110518777012203,0.000849423437277437,0.0007505772350291956
740,ir_person,0.42962636175449004,0.1911355588617844,0.0014149166073621044,0.00023352160711855862,0.0013636307178167037,0.0006222867424098895
